participant_id,condition,accuracy,button_response,clicks,coding,correct,expected,internal_node_id,keyboard_response,question_order,response,response_source,rt,stimulus,time_elapsed,trial_index,trial_type,triplet_id,error
36,masc lex 2,,,,,,,0.0-0.0,,,0,,10022,"<p><font size=""3"">DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive written stimuli. You will be asked to read a series of sentences and provide judgments about the social characteristics of the speakers of these sentences. <br><br>RISKS AND BENEFITS: There are no known risks, costs, or discomforts in this study and this judgment is based on a large body of experiments with the same or similar procedures with people of similar ages, sex, origins, etc.  We cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive written stimuli.<br><br>PAYMENTS: You will be paid at the posted rate. <br><br>SUBJECT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. <br><br> CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please continue on to the next page.</font></p>",10049,0,html-button-response,,
36,masc lex 2,,,,,,,0.0-1.0,,,0,,13529,"<p><font size='3'>In this experiment, you will read a series of sentences. Each sentence has been produced by a different speaker. After reading each sentence, you will be asked to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale. After providing your rating, you can proceed to the next trial by clicking 'Continue'. Some trials will have comprehension questions. To complete these, click on the button with the correct answer. <br><br>When you're ready to begin, click ‘Start’.</font></p>",23585,1,html-button-response,,
36,masc lex 2,,,"[{'time': 7341.10000000149, 'location': 0.45928387431801654}]",,,neutral,0.0-2.0,,,0.459283874,,,"['<p style=""font-weight:bold;"">I\'m surprised how tasty that burger was.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",33603,2,html-vas-response,14,
36,masc lex 2,,,"[{'time': 6089.29999999702, 'location': 0.07327982202938166}]",,,non_masc,0.0-3.0,,,0.073279822,,,"['<p style=""font-weight:bold;"">I see you got new lilac mugs.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",43611,3,html-vas-response,4,
36,masc lex 2,correct,0,,,0,,0.0-4.0,,,,button,6027,What type of dish is the speaker commenting on?<br><br>,49646,4,html-multi-response,,
36,masc lex 2,,,"[{'time': 5035.699999999255, 'location': 0.23128148073820112}]",,,masc,0.0-5.0,,,0.231281481,,,"['<p style=""font-weight:bold;"">My bad, I didn\'t see you there.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",59655,5,html-vas-response,21,
36,masc lex 2,,,"[{'time': 4921.699999999255, 'location': 0.013279192139956549}]",,,non_masc,0.0-6.0,,,0.013279192,,7829,"['<p style=""font-weight:bold;"">Girl, you won\'t believe who I bumped into this week.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",67492,6,html-vas-response,2,
36,masc lex 2,incorrect,0,,,1,,0.0-7.0,,,,button,6020,True or False: The speaker expressed that they bumped into someone two weeks ago.<br><br>,73516,7,html-multi-response,,
36,masc lex 2,,,"[{'time': 6105.800000000745, 'location': 0.7352867718093721}]",,,non_masc,0.0-8.0,,,0.735286772,,7309,"['<p style=""font-weight:bold;"">When is lunch? I\'m literally starving.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",80832,8,html-vas-response,3,
36,masc lex 2,correct,1,,,1,,0.0-9.0,,,,button,2007,What meal is the speaker asking about?<br><br>,82844,9,html-multi-response,,
36,masc lex 2,,,"[{'time': 4320.5, 'location': 0.653285910960491}]",,,masc,0.0-10.0,,,0.653285911,,5567,"['<p style=""font-weight:bold;"">Your presentation sounded good.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",88422,10,html-vas-response,18,
36,masc lex 2,,,"[{'time': 4114.60000000149, 'location': 0.5512848401484683}]",,,neutral,0.0-11.0,,,0.55128484,,5578,"['<p style=""font-weight:bold;"">I hear what you\'re saying, Sam.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",94008,11,html-vas-response,9,
36,masc lex 2,,,"[{'time': 4157.699999999255, 'location': 0.9072885774923908}]",,,masc,0.0-12.0,,,0.907288577,,5760,"['<p style=""font-weight:bold;"">I hear what you\'re saying, bro.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",99775,12,html-vas-response,23,
36,masc lex 2,,,"[{'time': 2938.79999999702, 'location': 0.4872841682664149}]",,,neutral,0.0-13.0,,,0.487284168,,4381,"['<p style=""font-weight:bold;"">I bought a new shirt last Friday.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",104166,13,html-vas-response,13,
36,masc lex 2,,,"[{'time': 3520.800000000745, 'location': 0.7032864358683453}]",,,masc,0.0-14.0,,,0.703286436,,4935,"['<p style=""font-weight:bold;"">The party last night was really sick.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",109110,14,html-vas-response,19,
36,masc lex 2,,,"[{'time': 4465.199999999255, 'location': 0.3792830344654497}]",,,neutral,0.0-15.0,,,0.379283034,,6132,"['<p style=""font-weight:bold;"">My workout yesterday had me feeling exhausted.</p><br><br>How masculine is the speaker of this sentence?<br><br>']",115251,15,html-vas-response,11,
