workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,question_order,response,result,rt,slider_start,stimulus,success,time_elapsed,timeout,trial_index,trial_type,error
507,main,[],,,,,0.0-11.0,,"{'age': '35', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'none, but thank you and good luck with your research', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,45886,,,,216219,,32,survey,
492,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,35463,,,,288701,,32,survey,
526,main,[],,,,,0.0-11.0,,"{'age': '21', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,86204,,,,329344,,32,survey,
551,main,[],,,,,0.0-11.0,,"{'age': '31', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Some college', 'question1': None}",,37446,,,,228434,,32,survey,
482,main,[],,,,,0.0-11.0,,"{'age': '38', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'No.', 'language': 'English', 'education': 'Some college', 'question1': None}",,59972,,,,292986,,32,survey,
523,main,[],,,,,0.0-11.0,,"{'age': '20', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was too low', 'comments': 'no', 'language': 'English', 'education': 'Graduated high school', 'question1': None}",,55127,,,,177649,,32,survey,
540,main,[],,,,,0.0-11.0,,"{'age': '37', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Some college', 'question1': None}",,26388,,,,155499,,32,survey,
505,main,[],,,,,0.0-11.0,,"{'age': '48', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,39868,,,,277390,,32,survey,
449,main,[],,,,,0.0-11.0,,"{'age': '32', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,32149,,,,185443,,32,survey,
500,main,[],,,,,0.0-11.0,,"{'age': '34', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'no', 'language': 'English', 'education': 'Some college', 'question1': None}",,47034,,,,230720,,32,survey,
545,main,[],,,,,0.0-11.0,,"{'age': '49', 'enjoy': 'Better than the average experiment', 'gender': 'Non-binary/Non-conforming', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Hold a higher degree', 'question1': None}",,67221,,,,226202,,32,survey,
530,main,[],,,,,0.0-11.0,,"{'age': '43', 'enjoy': 'An average experiment', 'gender': 'Male', 'region': 'Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'I enjoyed the audio evaluation portion and would not have minded if that section was longer or more involved.', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,81764,,,,315012,,32,survey,
472,main,[],,,,,0.0-11.0,,"{'age': '27', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'english', 'education': 'Graduated college', 'question1': None}",,29238,,,,243703,,32,survey,
443,main,[],,,,,0.0-11.0,,"{'age': '42', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Southwest - AZ, NM, OK, TX', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,25174,,,,228045,,32,survey,
554,main,[],,,,,0.0-11.0,,"{'age': '34', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,61659,,,,370267,,32,survey,
552,main,[],,,,,0.0-11.0,,"{'age': '42', 'enjoy': 'An average experiment', 'gender': 'Female', 'region': 'Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'question1': None}",,33871,,,,234918,,32,survey,
