workerid,age,gender,region,education,lang
507,35,Female,"Southwest - AZ, NM, OK, TX",Graduated college,english
492,32,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Hold a higher degree,English
526,21,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Hold a higher degree,English
551,31,Male,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Some college,english
482,38,Male,"Southwest - AZ, NM, OK, TX",Some college,English
523,20,Male,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Graduated high school,English
540,37,Female,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Some college,English
505,48,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Graduated college,english
449,32,Male,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Graduated college,English
500,34,Male,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Some college,English
545,49,Non-binary/Non-conforming,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Hold a higher degree,English
530,43,Male,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Graduated college,English
472,27,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Graduated college,english
443,42,Female,"Southwest - AZ, NM, OK, TX",Graduated college,English
554,34,Male,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Graduated college,English
552,42,Female,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Graduated college,English
441,32,Male,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Hold a higher degree,English
456,49,Female,"Southwest - AZ, NM, OK, TX",Graduated college,English
510,19,Male,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Some college,English
436,54,Female,"Midwest - IA, IL, IN, KS, MI, MN, MO, ND, NE, OH, SD, WI",Graduated college,English
533,26,,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Hold a higher degree,English
450,50,Female,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Hold a higher degree,English
483,24,Male,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Graduated high school,english
542,42,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Graduated college,English
455,28,Female,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Graduated high school,English
457,53,Male,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Graduated high school,English
499,30,Male,"Southeast - AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV",Some college,English
